user_id,username,email,role,department
USER0000,priscilaribeiro843,priscilaribeiro@hospital.com.br,nurse,emergency
USER0001,luciaferreira599,luciaferreira@hospital.com.br,admin,obstetrics
USER0002,renatacardoso173,renatacardoso@hospital.com.br,technician,neonatology
USER0003,rafaelalmeida26,rafaelalmeida@hospital.com.br,technician,obstetrics
USER0004,renatacardoso606,renatacardoso@hospital.com.br,nurse,emergency
USER0005,camilasousa760,camilasousa@hospital.com.br,technician,obstetrics
USER0006,priscilaribeiro238,priscilaribeiro@hospital.com.br,nurse,obstetrics
USER0007,marceloaraújo702,marceloaraújo@hospital.com.br,technician,icu
USER0008,diegobarbosa823,diegobarbosa@hospital.com.br,nurse,neonatology
USER0009,carlosrodrigues674,carlosrodrigues@hospital.com.br,nurse,neonatology
USER0010,camilasousa543,camilasousa@hospital.com.br,nurse,emergency
USER0011,diegobarbosa766,diegobarbosa@hospital.com.br,doctor,emergency
USER0012,gustavocarvalho507,gustavocarvalho@hospital.com.br,admin,icu
USER0013,rafaelalmeida184,rafaelalmeida@hospital.com.br,technician,obstetrics
USER0014,camilasousa574,camilasousa@hospital.com.br,technician,obstetrics
USER0015,julianapereira207,julianapereira@hospital.com.br,doctor,icu
USER0016,mariasantos366,mariasantos@hospital.com.br,technician,icu
USER0017,tatianagomes183,tatianagomes@hospital.com.br,doctor,obstetrics
USER0018,fernandalima727,fernandalima@hospital.com.br,doctor,obstetrics
USER0019,leonardonascimento35,leonardonascimento@hospital.com.br,technician,emergency
USER0020,priscilaribeiro731,priscilaribeiro@hospital.com.br,admin,obstetrics
USER0021,gustavocarvalho623,gustavocarvalho@hospital.com.br,doctor,obstetrics
USER0022,leonardonascimento316,leonardonascimento@hospital.com.br,admin,icu
USER0023,joãooliveira813,joãooliveira@hospital.com.br,nurse,obstetrics
USER0024,priscilaribeiro310,priscilaribeiro@hospital.com.br,admin,obstetrics
USER0025,anasilva47,anasilva@hospital.com.br,admin,neonatology
USER0026,diegobarbosa110,diegobarbosa@hospital.com.br,doctor,obstetrics
USER0027,diegobarbosa463,diegobarbosa@hospital.com.br,nurse,neonatology
USER0028,carlosrodrigues35,carlosrodrigues@hospital.com.br,doctor,obstetrics
USER0029,pedrocosta709,pedrocosta@hospital.com.br,nurse,obstetrics
USER0030,diegobarbosa102,diegobarbosa@hospital.com.br,doctor,icu
USER0031,gustavocarvalho62,gustavocarvalho@hospital.com.br,nurse,neonatology
USER0032,vanessadias193,vanessadias@hospital.com.br,technician,obstetrics
USER0033,carlosrodrigues976,carlosrodrigues@hospital.com.br,nurse,obstetrics
USER0034,joãooliveira347,joãooliveira@hospital.com.br,technician,neonatology
USER0035,pedrocosta410,pedrocosta@hospital.com.br,admin,neonatology
USER0036,priscilaribeiro794,priscilaribeiro@hospital.com.br,nurse,icu
USER0037,priscilaribeiro907,priscilaribeiro@hospital.com.br,nurse,icu
USER0038,joãooliveira415,joãooliveira@hospital.com.br,technician,neonatology
USER0039,marceloaraújo374,marceloaraújo@hospital.com.br,doctor,emergency
USER0040,carlosrodrigues243,carlosrodrigues@hospital.com.br,doctor,neonatology
USER0041,camilasousa906,camilasousa@hospital.com.br,admin,obstetrics
USER0042,brunomartins919,brunomartins@hospital.com.br,admin,obstetrics
USER0043,rafaelalmeida938,rafaelalmeida@hospital.com.br,doctor,obstetrics
USER0044,diegobarbosa834,diegobarbosa@hospital.com.br,doctor,icu
USER0045,marceloaraújo393,marceloaraújo@hospital.com.br,doctor,neonatology
USER0046,priscilaribeiro398,priscilaribeiro@hospital.com.br,technician,icu
USER0047,tatianagomes697,tatianagomes@hospital.com.br,technician,emergency
USER0048,rafaelalmeida6,rafaelalmeida@hospital.com.br,admin,obstetrics
USER0049,leonardonascimento689,leonardonascimento@hospital.com.br,admin,icu
USER0050,anasilva999,anasilva@hospital.com.br,admin,obstetrics
USER0051,anasilva369,anasilva@hospital.com.br,technician,emergency
USER0052,joãooliveira787,joãooliveira@hospital.com.br,nurse,emergency
USER0053,felipemonteiro19,felipemonteiro@hospital.com.br,nurse,neonatology
USER0054,felipemonteiro10,felipemonteiro@hospital.com.br,nurse,obstetrics
USER0055,julianapereira325,julianapereira@hospital.com.br,nurse,emergency
USER0056,marceloaraújo380,marceloaraújo@hospital.com.br,nurse,neonatology
USER0057,mariasantos744,mariasantos@hospital.com.br,admin,neonatology
USER0058,leonardonascimento956,leonardonascimento@hospital.com.br,admin,obstetrics
USER0059,fernandalima294,fernandalima@hospital.com.br,doctor,neonatology
USER0060,leonardonascimento140,leonardonascimento@hospital.com.br,technician,icu
USER0061,camilasousa175,camilasousa@hospital.com.br,nurse,icu
USER0062,julianapereira723,julianapereira@hospital.com.br,nurse,obstetrics
USER0063,renatacardoso213,renatacardoso@hospital.com.br,technician,emergency
USER0064,anasilva140,anasilva@hospital.com.br,nurse,obstetrics
USER0065,brunomartins450,brunomartins@hospital.com.br,admin,icu
USER0066,marceloaraújo150,marceloaraújo@hospital.com.br,doctor,icu
USER0067,fernandalima98,fernandalima@hospital.com.br,nurse,obstetrics
USER0068,joãooliveira229,joãooliveira@hospital.com.br,technician,obstetrics
USER0069,luciaferreira721,luciaferreira@hospital.com.br,technician,emergency
USER0070,mariasantos147,mariasantos@hospital.com.br,admin,icu
USER0071,julianapereira330,julianapereira@hospital.com.br,nurse,neonatology
USER0072,luciaferreira452,luciaferreira@hospital.com.br,admin,emergency
USER0073,camilasousa394,camilasousa@hospital.com.br,admin,obstetrics
USER0074,carlosrodrigues9,carlosrodrigues@hospital.com.br,doctor,neonatology
